id;name;description
52bdf4c9-07aa-4bb3-a201-c5ea42b09c4e;ding en decà de;../fake-data/blob/hipster.txt
66400879-3d7e-4d17-af3d-07eab49c9500;raide totalement quelque;../fake-data/blob/hipster.txt
faa8956b-6d6e-4cca-86fb-4bd8a3001798;loin;../fake-data/blob/hipster.txt
7d374703-ddd7-475b-8a98-7fd5fc7a813d;mairie crac;../fake-data/blob/hipster.txt
c5c84f61-0d7a-4899-8736-06ea06db897a;triangulaire jeune enfant;../fake-data/blob/hipster.txt
8264ee9f-438e-4664-9c34-7a2434b889de;dans la mesure où longtemps patientèle;../fake-data/blob/hipster.txt
abaa1204-a7f3-4d25-b111-e3daea0a7bfa;fonctionnaire;../fake-data/blob/hipster.txt
9dbf6fb2-3d0f-4343-92b4-9213dbe94eec;clientèle;../fake-data/blob/hipster.txt
6b746f75-b5e8-4c73-9c54-8fb3b03a7d7d;quand à moins de;../fake-data/blob/hipster.txt
d148b68f-1dc3-4660-8662-98190a9f4dc6;en bas de bof;../fake-data/blob/hipster.txt
