id;rating;comment
e4b27eac-3859-44db-9ab2-38cd53add16d;18282;../fake-data/blob/hipster.txt
8e721333-91ab-46ed-8559-702f42191c01;12664;../fake-data/blob/hipster.txt
a9a857a2-5f03-4d27-addd-1b3caffc4ca8;24472;../fake-data/blob/hipster.txt
9a62d6b4-2feb-4b3a-bad0-5814c8afd53f;15924;../fake-data/blob/hipster.txt
0e7f623c-fd03-4a3f-8b46-55a0fd05b953;3421;../fake-data/blob/hipster.txt
b6967c6c-95f5-4e4f-b74c-d607589aa3c2;18229;../fake-data/blob/hipster.txt
981d840d-88f5-41c4-8c8c-d186d0153632;1568;../fake-data/blob/hipster.txt
40200aa6-a74d-4551-9c40-1dfcb439b3ae;14747;../fake-data/blob/hipster.txt
95b4ca3a-d74d-4505-8741-65d340599128;9176;../fake-data/blob/hipster.txt
997ded9e-a7f1-4b84-b789-069efa40551c;11573;../fake-data/blob/hipster.txt
