id;expedition_date;status
b5f23723-b0a1-4ed1-ab7a-8e8e153b3ae2;2024-09-09;SHIPPED
e60b75a6-d367-4fb3-a426-401218526a84;2024-09-09;CANCELLED
a5805965-6c83-45ea-a2a8-a917cb658e96;2024-09-09;CANCELLED
ead32b08-6cb4-41af-b05a-19ca08c1d9e7;2024-09-09;RETURN_REQUESTED
a22571e9-bb65-4448-8458-2339d3b8c3eb;2024-09-08;DELIVERED
4085695f-9049-4a3b-91c4-e7e2b45a9755;2024-09-09;CANCELLED
3624a746-f79c-42f6-a78d-cf00458f6f67;2024-09-08;SHIPPED
130bb2e5-0c66-4317-9ef1-aa8e9545da07;2024-09-09;SHIPPED
52ce9139-5671-4eda-83b5-308e6bf0909e;2024-09-08;DRAFT
f841d664-4aab-4dfc-a176-f4837422adea;2024-09-08;REFUNDED
