id;name;description
8b0e4186-851b-4222-af61-a8607f1f1338;que altruiste;../fake-data/blob/hipster.txt
99dea8c7-be09-4b73-ba09-c026e8ed2c9a;rectangulaire;../fake-data/blob/hipster.txt
3a144262-bec9-4116-a4e6-ed9d178a6807;égarer parlementaire tandis que;../fake-data/blob/hipster.txt
bd178677-cf8e-4489-a140-7518c4aff6c9;marron;../fake-data/blob/hipster.txt
8c490a3f-77bf-4259-a44a-2cf5b35b35c8;broum;../fake-data/blob/hipster.txt
9d1f67fe-005b-4304-9c36-1fd37ce80ae3;antique;../fake-data/blob/hipster.txt
195c1ec6-823c-47d3-aaa5-570e00be7d57;pendant que quelquefois;../fake-data/blob/hipster.txt
68b99e9f-9281-4f5f-a917-9e6e9e4a42af;derrière glouglou aïe;../fake-data/blob/hipster.txt
96e887ad-3109-4299-943a-79a3190b63c7;à seule fin de critiquer;../fake-data/blob/hipster.txt
8a26d902-8906-4a1d-9224-fa55846ab7bd;gigantesque déclarer atchoum;../fake-data/blob/hipster.txt
