id;name;description
571ad7ec-a33f-4b3a-849a-f862d76d18aa;aimable pff;../fake-data/blob/hipster.txt
9ced152f-22e4-4dd2-979e-ea53210ceb1d;géométrique gestionnaire;../fake-data/blob/hipster.txt
819a021c-df06-49b3-8ab7-868e5f734577;mesurer;../fake-data/blob/hipster.txt
a8a0107a-7c03-4d5c-bad6-70269a83fba8;moins contrarier maigre;../fake-data/blob/hipster.txt
d5043e89-500e-4f15-8041-ffa246c03254;brave;../fake-data/blob/hipster.txt
fa826283-3c94-491f-8eec-b74edd52f6a5;énergique pallier;../fake-data/blob/hipster.txt
08955a6d-5234-43b9-96c5-3d715778cdd7;immense à l'exception de;../fake-data/blob/hipster.txt
954b072e-d405-4e87-8224-f19ce26f73cb;égoïste bien que;../fake-data/blob/hipster.txt
06f46189-dc59-4fb7-b2d1-cf8520f93227;badaboum adorable cuicui;../fake-data/blob/hipster.txt
24cd069f-0e67-4750-9d0e-5c0fefc4d5a5;balayer avant;../fake-data/blob/hipster.txt
