id;quantity;unit_price
59296f70-1cd8-4ed2-8c39-f9a3cd13efe9;22545;8063.96
76b24468-839f-494b-93ff-5e1ee2572b4f;656;1992.67
62767f6d-4509-4237-9bef-883aade2300d;30017;27775.53
72c3904d-7cec-4555-9649-7b7d2e56fa9a;86;21758.87
31fbc96f-87a8-4844-b737-478a029d246d;696;2022.21
d3d643bc-d115-4956-b0ed-41d14146b04d;16101;25503.48
43616d05-e37d-49c7-8e1e-db6fcf1e3605;32182;6052.46
0f07ebbf-70fc-47c0-bf3f-8e257c7c4aa2;12063;9689.96
daa7e0d2-4220-4f36-8a35-55c923159192;1283;28040.92
0cc542be-116d-47b3-aa9c-526478b6bfc5;28084;27465.66
